Date,Open,High,Low,Close,Adj Close,Volume
09/12/1963,6.175908,6.182282,6.118547,6.169535,1.378854,643290
10/12/1963,6.156788,6.156788,6.118547,6.131294,1.370308,313800
11/12/1963,6.131294,6.156788,6.118547,6.118547,1.367458,258885
12/12/1963,6.118547,6.137667,6.057999,6.057999,1.353927,251040
13/12/1963,6.057999,6.086679,6.035692,6.057999,1.353927,360870
16/12/1963,6.061185,6.121734,6.061185,6.067559,1.356063,258885
17/12/1963,6.086679,6.163161,6.086679,6.163161,1.37743,470700
18/12/1963,6.163161,6.258764,6.163161,6.163161,1.37743,651135
19/12/1963,6.163161,6.207776,6.144041,6.156788,1.376004,502080
20/12/1963,6.156788,6.175908,6.099426,6.163161,1.37743,470700
23/12/1963,6.163161,6.201402,6.147228,6.156788,1.376004,627600
24/12/1963,6.163161,6.214149,6.163161,6.175908,1.380277,494235
26/12/1963,6.195029,6.265137,6.195029,6.25239,1.397372,541305
27/12/1963,6.290631,6.344806,6.290631,6.290631,1.405918,1129680
30/12/1963,6.316125,6.376673,6.316125,6.360739,1.421587,1796505
31/12/1963,6.37986,6.494583,6.37986,6.462715,1.444378,1820040
02/01/1964,6.500956,6.615679,6.500956,6.590185,1.472867,1278735
03/01/1964,6.590185,6.641173,6.500956,6.500956,1.452924,1098300
06/01/1964,6.51689,6.609305,6.51689,6.520076,1.457198,737430
07/01/1964,6.520076,6.583811,6.469089,6.475462,1.447225,619755
08/01/1964,6.475462,6.577438,6.475462,6.539197,1.461471,713895
09/01/1964,6.551944,6.743149,6.551944,6.736775,1.505628,1294425
10/01/1964,6.736775,6.806883,6.736775,6.794136,1.518448,1176750
13/01/1964,6.794136,6.908859,6.755895,6.832377,1.526994,1286580
14/01/1964,6.832377,6.908859,6.81963,6.81963,1.524147,1082610
15/01/1964,6.92798,7.151052,6.92798,7.151052,1.598217,1631760
16/01/1964,7.151052,7.227533,6.972594,7.010835,1.566878,2024010
17/01/1964,7.010835,7.138305,6.998088,7.049076,1.575426,1317960
20/01/1964,7.049076,7.189293,7.036329,7.036329,1.572576,1310115
21/01/1964,7.036329,7.100064,6.908859,6.908859,1.544087,2275050
22/01/1964,6.934353,7.023582,6.934353,6.972594,1.558332,996315
23/01/1964,6.978967,7.036329,6.978967,7.004461,1.565455,753120
24/01/1964,7.004461,7.017208,6.9471,6.959847,1.555484,596220
27/01/1964,6.959847,7.004461,6.826004,6.883365,1.53839,596220
28/01/1964,6.870618,6.870618,6.80051,6.806883,1.521296,580530
29/01/1964,6.794136,6.794136,6.679414,6.679414,1.492809,855105
30/01/1964,6.717655,6.794136,6.717655,6.743149,1.507052,502080
31/01/1964,6.768642,6.908859,6.768642,6.908859,1.544087,674670
03/02/1964,6.908859,6.966221,6.864245,6.896112,1.541238,651135
04/02/1964,6.880178,6.880178,6.832377,6.876992,1.537321,360870
05/02/1964,6.876992,6.889739,6.832377,6.832377,1.527347,462855
06/02/1964,6.832377,6.876992,6.806883,6.832377,1.527347,635445
